year,title,abstract,doi,url,source
2020,Architectural Models Enabled Dynamic Optimization for System-of-Systems Evolution,"System of Systems (SoS) is designed to deliver value to participant stakeholders in a dynamic and uncertain environment where new systems are added and current systems are removed continuously and on their own volition. This requires effective evolution management at the SoS architectural level with adequate support of process, methods, and tools. This paper follows the principle of Model-Based Systems Engineering (MBSE) and develops a holistic framework integrating MBSE conceptual representations and approximate dynamic programming (ADP) to support the SoS evolution. The conceptual models provide a common architectural representation to improve communication between various decision makers while the dynamic optimization method suggests evolution planning decisions from the analytical perspective. The Department of Defense Architecture Framework (DoDAF) models using Systems Modeling Language (SysML) are used as MBSE artifacts to connect with ADP modeling elements through DoDAF metamodels to increase information traceability and reduce unnecessary information loss. Using a surface warfare SoS as an example, this paper demonstrates and explains the procedures of developing DoDAF models, mapping DoDAF models to ADP elements, formulating ADP formulation, and generating evolutionary decisions. The effectiveness of using ADP in supporting evolution to achieve a near-optimal solution that can maximize the SoS capability over time is illustrated by comparing ADP solution to other alternative solutions. The entire framework also sheds light on bridging the DoDAF-based conceptual models and other mathematical optimization methods. © 2020 Zhemei Fang et al.",10.1155/2020/7534819,https://www.hindawi.com/journals/complexity/2020/7534819/,scopus; webofscience; googlescholar
2020,System-of-Systems Design Optimization Based on Coevolutionary Game,"The design optimization of the system of systems (SoS) is of great significance but extremely difficult. A collaborative optimization method based on coevolutionary game is proposed to solve this problem. More specifically, it first provides a standardized design decision model for a large number of heterogeneous systems within an SoS in order to reduce the organizational complexity of the design process significantly, and then uses different game models to describe the collaborative interactions between heterogeneous systems and effectively deal with various coupling constraints and objective conflicts in the evolutionary design process of the SoS. Then, the multi-attribute utility theory, experimental design method, response surface modeling technology and differential evolution algorithm are combined to find a satisfactory global optimal solution with the least information exchange and iterative process. Finally, the design of the over-the-horizon amphibious operation equipment SoS is used as an illustrative example to demonstrate the effectiveness of the proposed method.",10.1109/ICECTT50890.2020.00092,,ieeeexplore; scopus; webofscience
2020,Simulation Evolution Method for system of systems confrontation,"System of systems confrontation is the main form of modern warfare. In order to meet different modeling and simulation needs, a large number of evolution ideas of system of systems simulation have emerged. This paper gives two different definitions of evolution ways of system of systems simulation through induction and summary, and makes a comparative analysis from the perspective of evolution mechanism and application scope. Taking atypical parallel simulation system as an example, it gives different evolution ideas Design of simulation application framework under mechanism. © Published under licence by IOP Publishing Ltd.",10.1088/1757-899X/782/3/032007,,scopus
2018,Developing and evolving a DSL-based approach for runtime monitoring of systems of systems,"Complex software-intensive systems are often described as systems of systems (SoS) due to their heterogeneous architectural elements. As SoS behavior is often only understandable during operation, runtime monitoring is needed to detect deviations from requirements. Today, while diverse monitoring approaches exist, most do not provide what is needed to monitor SoS, e.g., support for dynamically defining and deploying diverse checks across multiple systems. In this paper we report on our experiences of developing, applying, and evolving an approach for monitoring an SoS in the domain of industrial automation software, that is based on a domain-specific language (DSL). We first describe our initial approach to dynamically define and check constraints in SoS at runtime and then motivate and describe its evolution based on requirements elicited in an industry collaboration project. We furthermore describe solutions we have developed to support the evolution of our approach, i.e., a code generation approach and a framework to automate testing the DSL after changes. We evaluate the expressiveness and scalability of our new DSL-based approach using an industrial SoS. We also discuss lessons we learned. Our results show that while developing a DSL-based approach is a good solution to support industrial users, one must prepare the approach for evolution, by making it extensible and adaptable to future scenarios. Particularly, support for automated (re-)generation of tools and code after changes and automated testing are essential. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",10.1007/s10515-018-0241-x,https://link.springer.com/article/10.1007/s10515-018-0241-x,scopus; springerlink; webofscience; googlescholar; scopus
2019,Modeling of Capability RelationsOriented to the Evolution of Operational System-of-systems; [面向作战体系演化的能力关系建模研究],"Based on the analysis of the capability of the operational system-of-systems(OSoS) and its relationship, the capability relationship description function is constructed, and the spreading effect and emerging effect are explained. The super-network theory is used to establish the ‘entity-capability’ network model and its characteristic parameters. For measuring the emerging effect of the capability of OSoS, the capability contribution domain model and the capability emergence domain model are constructed. Taking the air defense system-of-systems evolution analysis as an example,the capability relationship model of OSoS is verified to provide a qualitative and quantitative method for constructing the evolution set of the OSoS. © 2019, The Editorial Board of Journal of System Simulation. All right reserved.",10.16182/j.issn1004731x.joss.19-0239,,scopus
2015,Flexible and Intelligent Learning Architectures for SoS (FILA-SoS): Architectural Evolution in Systems-of-Systems,"The dynamic planning for a system-of-systems is a challenging endeavor. Department of Defense (DoD) programs constantly face challenges to incorporate new systems and upgrade existing systems over a period of time under threats, constrained budget, and uncertainty. It is therefore necessary for the DoD to be able to look at the future scenarios and critically assess the impact of technology and stakeholder changes. The DoD currently is looking for options that signify affordable acquisition selections and lessen the cycle time for early acquisition and new technology addition. This paper gives an overview of a novel methodology known as the Flexible Intelligent & Learning Architectures in System-of-Systems (FILA-SoS). This approach allows for analyzing sequential decisions in evolving SoS architectures. An ISR SoS example illustrates an application of the method.",10.1016/j.procs.2015.03.005,https://www.sciencedirect.com/science/article/pii/S1877050915002410,sciencedirect; scopus; webofscience; googlescholar
2008,System-of-Systems Engineering Management: A Review of Modern History and a Path Forward,"As our knowledge of system of systems (SoS) has grown and evolved, so has our understanding of how to engineer and manage them. In systems engineering, we develop architectures and frameworks to bring meaning to this kind of uncertainty, but for SoS engineering (SoSE) we are still in search of how we can structure this understanding. In this paper, we review the SoS literature to illustrate the need to create an SoSE management framework based on the demands of constant technological progress in a complex dynamic environment. We conclude from this review that the history and evolution of defining SoS has shown that: (1) SoS can be defined by distinguishing characteristics and (2) SoS can be viewed as a network where the ldquobest practicesrdquo of network management can be applied to SoSE. We use these two theories as a foundation for our objective to create an effective SoSE management framework. To accomplish this, we utilize modified fault, configuration, accounting, performance, and security (FCAPS) network principles (SoSE management conceptual areas). Furthermore, cited distinguishing characteristics of SoS are also used to present a SoSE management framework. We conclude with a case analysis of this framework using a known and well-documented SoS (i.e., Integrated Deepwater System) to illustrate how to better understand, engineer, and manage within the domain of SoSE.",10.1109/JSYST.2008.2007163,https://ieeexplore.ieee.org/abstract/document/4682611/,ieeeexplore; scopus; webofscience; googlescholar
2017,Evolution Model of Equipment Support System of Systems Based on Complex Network Theory,"The equipment support system of systems (SOS) architecture plays a decisive role in the effectiveness and adaptability of SOS, and the evolution model is a key technology to construct the equipment support SOS architecture. An improved evolution model of equipment support SOS based on the multi-weighted network is proposed for the heterogeneity of the entities in the equipment support SOS and the impact of the support mission requirements on the architecture evolution. The network characteristics of equipment support SOS is analyzed, the complex network theory is introduced to construct the initial weighted network model of the equipment support SOS, and the network evaluation indexes are presented. On this basis, the network evolution rule and the improved evolution model are proposed. In the weighted network model, the support mission requirements are abstracted as the network nodes, and the uncertainty of mission requirements is described by a quaternion, and the fitness index is used to link support mission requirements with the SOS architecture. The heterogeneity of network nodes is characterized by the type and support capability of nodes, and regarded as a major factor in the evolution process. The simulation experimental results show that the improved model can be used to determine the influence of the support mission on the evolution process, improve the adaptability of SOS architecture to the mission, and enhance the SOS effectiveness in a certain range. © 2017, Editorial Board of Acta Armamentarii. All right reserved.",10.3969/j.issn.1000-1093.2017.10.019,,scopus
2017,Understanding evolution in systems of systems,"Based on a literature analysis, this paper examines the nature of evolution in Systems of Systems (SoS) by attempting to answer why, where and how change occurs in this new kind of complex systems as well as what unprecedented underlying challenges makes it difficult to manage. This paper gives special focus on how state-of-the-art research efforts are attempting to solve those challenges and ultimately aims to provide research directions towards making evolution in systems of systems a disciplined activity.",10.1109/SysEng.2017.8088283,,ieeeexplore; scopus; webofscience
2013,A system of systems approach to the evolutionary transformation of power management systems,"Power management systems of the future will be very different from the ones today. They will be complex systems of systems that directly incorporate distributed energy resources into the scheduling processes, react much quicker to changes in power demand and production than today's, and will allow small groups of producers and consumers to participate in the power market. This will lead to a more flexible, robust, and scalable power grid if the technological challenges can be mastered. We propose techniques that support this transition in five evolutionary steps, incorporating proven as well as new ideas. These steps are founded in the belief that agency of system components like power plants, trust as a measure of uncertainty, and self-organisation will be the keys to tackle the challenges at hand. Apart from describing approaches and algorithms that can help us in this matter, we provide preliminary evaluations that show that the techniques are worthwhile and should be further pursued. © 2013 Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI).",,https://dl.gi.de/handle/20.500.12116/20584,scopus; googlescholar
2017,An Event-Based Capture-and-Compare Approach to Support the Evolution of Systems of Systems,"Industrial software systems are often systems of systems (SoS) that evolve continuously to meet new customer requirements or to address technological changes. Despite thorough testing of the different contributing parts, the full behavior of SoS only emerges at runtime. The systems in the SoS and their interactions thus need to be continuously monitored and checked during operation to determine compliance with requirements. In particular, after changes to one system, it is necessary to check whether the overall SoS still behaves correctly and as intended. Based on an existing monitoring framework we have been developing support for capturing and comparing event traces in SoS. Our approach facilitates and partly automates the identification of differences in event traces, which often indicate undesirable behavior introduced during evolution. In this paper we motivate the need for monitoring and evolution support in SoS using an industrial example and describe our event-based capture-and-compare approach. We evaluate the applicability and scalability of our tool-supported approach, demonstrating that it can cope with comparing event traces from an industrial SoS. We present our experiences and findings intended for researchers and practitioners working on maintenance and evolution of large-scale software systems.",10.1145/3093742.3093909,,acm; scopus
2013,Using SysML modeling to understand and evolve systems of systems,"The recent Department of Defense (DoD) guidebook, Systems Engineering Guide for Systems of Systems, describes how traditional systems engineering activities have evolved to support systems engineering at the system of systems (SoS) level. Part of the research for this guidebook probed the application of modeling and simulation to support SoS systems engineering. The findings indicated that limited modeling and simulation are currently used, but that additional support would be useful if models could be quickly generated and used to support needed decision making. This paper presents an approach to using Systems Modeling Language (SysML) models to support these needs. © 2012 Wiley Periodicals, Inc.",10.1002/sys.21221,https://incose.onlinelibrary.wiley.com/doi/abs/10.1002/sys.21221,scopus; wiley; webofscience; googlescholar
2015,Interoperability as a key concept for the control and evolution of the system of systems (Sos),"A coalition of enterprises wanting to collaborate, and more generally a Collaborative Network of Organizations (CNO), can conceptually be assimilated as a System of Systems (SoS) presenting a number of characteristics to respect all over its life cycle. Interoperability is one of these characteristics (both functional and non-functional), which is from our point of view, essential in order to guarantee the control of the SoS, its behavior and the fulfillment of its mission(s). Moreover, it ensures the reaction of the SoS to deal with some risky situations and with potential local or global deficits during its functioning. In this paper, we propose to determine the relation between the current level of interoperability of the SoS and its functioning whatever may be its situation. A matrix shows how this relation evolves taking into account several characteristics of the SoS, particularly its capacity to respect interoperability requirements (Compatibility, Interoperation, Autonomy and Reversibility) and the so-called analysis perspectives of the SoS: Performance, Integrity and Stability. This relation is requested in order to permit and to guide SoS behavioral simulation currently in development. Thus, a set of indicators is derived and formalized. © IFIP International Federation for Information Processing 2015.",10.1007/978-3-662-47157-9_5,https://link.springer.com/chapter/10.1007/978-3-662-47157-9_5,scopus; springerlink; webofscience; googlescholar
2017,Enabling Flexibility through Forming and Evolving Systems of Systems,"Flexibility is a highly desired attribute of many systems operating in changing or uncertain conditions. This paper presents a study of enabling flexibility through designing and operating systems of systems (SoSs). The paper analyzes flexibility mechanisms of SoSs and, accordingly, identifies needs for flexibility that SoSs can meet. Following that, it proposes a hierarchical network as a more flexible SoS architecture for complex or distributed large-scale systems. Then, decision problems for forming and evolving a SoS network are defined. A case that involves integrating distributed renewable energy sources with the main grid is presented to illustrate the implementation of the proposed methodology. Results from this study support the idea of acquiring and maintaining flexibility with SoSs. The paper also identifies research needs for advancing this particular use of SoSs.",10.1016/j.procs.2017.09.059,,sciencedirect; scopus; webofscience
2017,Using evolutionary theory in studying the development of system of systems,"The paper describes a systems approach to study the evolution and development of a System of systems, particularly in military context. In this article, the System of systems is a socio-technical structure, where Information and Communication Technology is intertwined with human and other structural parts. Due to the interaction with the environment and between intertwined parts, System of systems is complex and dynamic in nature. Most of the system engineering or design methods tend to over-reduce the situation or over-emphasise some parts. When developing models describing the possible future states, Enterprise Architects struggle to analyse what future is practical to achieve. To overcome these challenges, a research method based on systems thinking is introduced. The foundation for the method was presented in Darwinian (1859) Theory of evolution. It is applied to technical systems by Mokyr (1998). Since the system in the Mokyr’s model was found too monolithic, Andriani’s and Carigani’s (2012) approach is applied to introduce modular design and innovation. Mokyr defines knowledge as underlying structure needed to design systems. Creating knowledge is extended using features of Choo’s (1998) model for Knowing Organisation. The extended model is tested with basic features presented in Bertalanffy’s (1968) general system theory. The model for the evolution of the socio-technical system of systems is corroborated with the use case in the military evolution of mechanised forces and manoeuvre tactics (Vego, 2007). The research model has been this far used in studying the capabilities of military command, control, communications, computing, and information. The business level studies have addressed the development of military knowledge management and the evolution of military training. The information level study has dealt with evolving military information management. All three studies provided tools for Enterprise Architects to do business level analyses both for the current and help in defining possible end states for strategies. © 2017 Academic Conferences Limited. All Rights Reserved.",,,scopus
2016,Simulation for a coevolved system-of-systems meta-Architecture,"The increasing complexity of modern systems poses challenges for understanding how these systems can be designed to best operate. Uncertainties in the operating environment and coevolution contribute to such complexity. This paper describes the simulation of a counter-Trafficking system-of-systems that has undergone competitive coevolution. A notional future meta-Architecture, consisting of manned and unmanned air and maritime systems, is also presented. The logic driving the model is summarized, and preliminary results are presented. The results identify driving factors of system performance, highlighting those outside the direct control of system designers or operators. These results help systems engineers better plan future system-of-system capabilities. © 2016 IEEE.",10.1109/SYSOSE.2016.7542931,,scopus; webofscience
2016,Interfaces in evolving cyber-physical systems-of-systems,"In the past twenty years the view on how we engineer, operate and evolve independently owned and managed Cyber-Physical Systems (CPSs) in order to realize and optimize complex economical processes has started to change. Advances in telecommunications and automation accompanied by standardization efforts resulted in sophisticated cross-domain information and communication technologies (e.g., the Internet of Things (IoT) [2, 9], elastic processing and storage clouds, Web Services) that allow for the integration of more and more existing and previously technologically isolated CPSs. These legacy systems became cooperating Constituent Systems (CSs) of evolving Cyber-Physical Systems-of-Systems (CPSoSs) and – by their physical and cyber interaction – give rise to new emergent services that cannot be realized by any single or small number of CSs alone. © The Author(s) 2016.",10.1007/978-3-319-47590-5_2,,scopus; springerlink
2016,Framework for a system of systems design oriented to evolution,"A framework was proposed for designing a system of systems (SoS) that takes account of the system's evolution over time. Given the design space of the SoS analysis, construct a multi-epoch scenario design, SoS optimization, and robust designs. A hybrid model based on multi-agent and system dynamic models was used to analyze the evolution of an SoS and find robust designs. The framework can help decision makers generate a robust SoS structure based on the SoS's capabilities over multiple epochs. Copyright © 2016 Editorial Department of Journal of Donghua University. All rights reserved.",,,scopus
2014,"Integrated Analysis of Functional and Developmental Interdependencies to Quantify and Trade-off Ilities for System-of-Systems Design, Architecture, and Evolution","When complex systems and systems-of-systems are involved, the behavior of the whole entity is not only due to that of the individual systems, but also to the interactions and interdependencies between the systems. Classical systems engineering approach is not always suitable to manage such feature, and new tools and methods are required, capable to identify, analyze and quantify properties of the system-of-systems as a whole. This research addresses the need to deal with complex dependencies between systems, in both developmental and functional relationships. We propose a combination of two previously developed methods, to analyze functional and developmental dependencies between systems in a system-of-systems, and to assess the impact of such dependencies on metrics that characterize global prop erties of a system-of-systems over its life span known as ilities. The analysis can be used to drive decisions for system-of- systems design, architecture, and evolution, with respect to the identified metrics of interest. It also accounts for the presence of multiple stakeholders, and external factors that influence the operability and the development of a system-of-systems. The methods support the analysis of trade-offs between competing ilities and facilitates identification of better performing architectures. We show preliminary results of the application of the methods, and how the results can be interpreted to evaluate system-of-system ilities on synthetic problems. We also propose the necessary steps for further improvement of the methods, and for future research.",10.1016/j.procs.2014.03.087,https://www.sciencedirect.com/science/article/pii/S1877050914001501,sciencedirect; scopus; webofscience; googlescholar
2014,An Analytic Workbench Perspective to Evolution of System of Systems Architectures,"The development of a large group of interdependently operating systems, or ‘System of Systems (SoS)’, presents significant challenges across technical, operational and programmatic dimensions. Trades between cost, schedule, performance, and associated spectrum of risks, are essential during analysis of alternatives for both individual systems and the SoS architecture as a whole. The large number of decision variables involved, ubiquitous uncertainty and complex interactions that exist between systems creates analysis problems that go well beyond the immediate mental faculties of decision-makers. Often times, the decisions made focus on localized development at the systems level with little consideration for cascading effects on the bigger SoS picture. Hence, the process of evolving SoS architectures requires tools that provides the SoS practitioner with meaningful analytical quantifications of the SoS tradespace. In the defense arena, existing tools for such trades, have been guided by policies set forth in the Defense Acquisitions Guidebook (DAG) (5000 series) and the System Engineering Guide for System of Systems (SoS-SE), but are lacking an analytic perspective towards more informed decision-making. This paper discusses a multidisciplinary effort, funded by the DoD's Systems Engineering research Center (SERC), to establish an analytic workbench of computational tools to facilitate better-informed decision-making on SoS architectures. The work is motivated by the idea that SoS practitioners possess relevant information and archetypal questions that reflect desired outcomes at the SoS level. These archetypal, technically -driven queries are mapped to relevant methods that can provide analytical outputs to directly support SoS acquisition and architectural decisions. The applicability and respective value-added of each method in addressing various archetypal measures are presented.",10.1016/j.procs.2014.03.084,https://www.sciencedirect.com/science/article/pii/S1877050914001471,sciencedirect; scopus; webofscience; googlescholar
2014,Dynamic Planning of System of Systems Architecture Evolution,"The dynamic planning and development of a large collection of systems or a ‘System of Systems’ (SoS) pose significant programmatic challenges due to the complex interactions that exist between its constituent systems. Decisions to add, remove, or reconstitute connections between systems can result in repercussive failures across operational and developmental dimensions of an SoS. The work conducted in this research is part of a larger body of work funded by the DoD Systems Engineering Research Center (SERC) towards the development of an Analytic Workbench. This paper in particular develops a tool that adopts an operations research-based perspective to SoS level planning based on metrics of cost, performance, schedule and risk. Specifically, our work employs an Approximate Dynamic Programming approach that is well suited to address issues of computational tractability of the resulting dynamic planning optimization problem. This approach allows for identification of near-optimal multi-stage decisions in evolving SoS architectures. A Naval Warfare Scenario SoS example problem illustrates application of the method.",10.1016/j.procs.2014.03.055,https://www.sciencedirect.com/science/article/pii/S1877050914001185,sciencedirect; scopus; webofscience; googlescholar
2014,OSM: An Evolutionary System of Systems Framework for Modeling and Simulation,"In this paper, we propose a novel Orchestrated Simulation through Modeling (OSM) framework that allows output visualizations and Discrete Event System Specification (DEVS) modeling and simulation (M&amp;S) frames to be developed separately as plug-ins and combined to form a complete system. Independently developed plug-ins can be added and removed as desired to dramatically change the system. This design allows input plug-ins (model, experimental), execution plug-ins (simulator), and output plug-ins to be developed separately and pieced together to form a unique system while allowing development to be compartmentalized. With the OSM framework, an evolutionary system of systems can be intelligently created by a community. Each community member only needs to fully understand the pieces they personally develop. The performance and scalability of our proposed OSM framework is discussed in an evolutionary system of systems domain pointing to its efficiency and usability.",10.5555/2664292.2664293,https://dl.acm.org/doi/abs/10.5555/2664292.2664293,acm; scopus; googlescholar
2014,Evolvability-Related Options in Military Systems of Systems,"This paper presents results of case investigations of evolvable systems of systems (SoS) in the military domain. The selected SoS cases illustrate examples of specific options implemented by architects in designing SoS that resulted in evolvable SoS. The research aims to further validate the usefulness of design principles for architecting systems that possess desirable lifecycle properties such as evolvability, and contribute real-world examples that architects may use to inspire specific design options for their system of interest.",10.1016/j.procs.2014.03.039,https://www.sciencedirect.com/science/article/pii/S1877050914001021,sciencedirect; scopus; webofscience; googlescholar
2012,Developing a methodology to support the evolution of System of Systems using risk analysis,"The potential for uncontrolled evolution of member systems is one of the most significant challenges facing SoS (System of Systems) management. Lack of control in evolution makes organizations more inefficient, raises costs, and can affect their ability to adapt quickly to changing circumstance. SoS bring together individual systems to fulfill shared goals, but the systems are likely to have been developed independently, and to different development and operational standards. Member systems retain much of their autonomy, along with their motivations and goals. This increases the risk of decisions relating to evolution being taken unilaterally within member systems, potentially to the detriment of the stability, efficiency and dependability of the SoS. This paper proposes a methodology to support non specialist end users in the identification, organization and discussion of information required to manage SoS evolution, and uses a modified form of HAZOPS (Hazard and Operability Study) to analyze the associated risks of evolution. The paper evaluates the methodology using a case study based on a recent RAF (Royal Air Force) Nimrod air crash, the official investigation into which showed severe failings in the operation of the Nimrod SoS. The paper concludes that the methodology proposed would provide valuable support to SoS evolution processes, and discusses future directions for the research. © 2011 Wiley Periodicals, Inc.",10.1002/sys.20194,https://incose.onlinelibrary.wiley.com/doi/abs/10.1002/sys.20194,scopus; wiley; webofscience; googlescholar
