year,title,abstract,doi,url,source
2012,Improving Systems Engineering Effectiveness in Rapid Response Development Environments,"Systems engineering is often ineffective in development environments where large, complex, brownfield systems of systems are evolved through parallel development of new capabilities in response to external, time-sensitive requirements. This paper defines a conceptual framework to improve that effectiveness and better integrate the systems engineering and software engineering processes. The framework is based on a services approach to systems engineering and the use of kanban techniques to schedule scarce enterprise systems engineering resources across multiple related systems and software development projects. The framework also addresses the differing value of work items to multiple stakeholders in the scheduling and coordination processes. Models and simulations are being used to capture, refine and validate the framework prior to in vivo experimentation.",,,acm
2012,Architecting Ultra-Large-Scale Green Information Systems,"As environmental sustainability issues have come to the societal and governmental forefront, a new breed of Green Information Systems (IS)---Ultra-Large-Scale (ULS) Green IS---is emerging. A ULS Green IS is an open socio-technical ecosystem that differs from traditional IS in scale, complexity and urgency. Design issues found in ULS systems, System of Systems, Edge-dominant, Metropolis systems and Green IS converge and multiply in the ULS Green IS context. This paper presents a design framework and an architecture analysis method, ECO-ARCH, to address the design of such systems. Through an action research study on architecting for Demand Response systems in the Smart Grid, this article illuminates the system characteristics of ULS Green IS and endorses a fundamental shift in design thinking for its design -- from ""bounded rationality"" for problem solving to ""expandable rationality"" for design for the unknown and for innovation. ECO-ARCH advances existing software architecture analysis methods by complimenting expandable rationality design thinking with proven engineering techniques in a dual-level macroscopic-microscopic analysis. This tackles the unique architecting problems of ULS Green IS where many stakeholders are unknown and design goals are not provided, where no architecture pre-exists, where system behavior is non-deterministic and continuously evolving, and where co-creation with consumers and prosumers is essential to achieving triple bottom line goals.",10.1109/GREENS.2012.6224259,,acm; ieeeexplore; scopus
2013,Evolving Systems of Systems: Industrial Challenges and Research Perspectives,"An increasing number of software systems today are systems of systems (SoS) comprising decentralized and heterogeneous systems with operational and managerial independence. The evolution of SoS is the rule and not the exception in practice due to frequently changing requirements, technologies, and markets. However, providing adequate support for the evolution of SoS is rather challenging as their behavior often emerges at runtime and is difficult to predict. Hence, SoS must be monitored during simulation and operation to ensure compliance with its requirements. In this position paper, we present challenges for SoS evolution from the domain of industrial automation. We discuss existing approaches supporting SoS evolution and derive research issues. We outline requirements for SoS evolution support and present key capabilities of a flexible monitoring and evolution infrastructure. We conclude with a discussion of research perspectives.",10.1145/2489850.2489851,https://dl.acm.org/doi/abs/10.1145/2489850.2489851,acm; googlescholar; scopus
2013,On Self-Adaptation in Systems-of-Systems,"Adaptivity and systems-of-systems (SoS) have always had a close relationship, as it is one of their defining features. Moreover, there is a clear similarity between the requirements of a SoS and those of many adaptive systems, such as autonomic and self-adaptive systems. In recent years, this kind of adaptive systems has been carefully studied; however, they often operate at a very different scale, being smaller than a typical SoS. The common nexus between both perspectives seem to be situated at the architectural level: the same adaptive techniques are recursively applied in different strata in a hierarchical composite. Therefore, the principles embodied in adaptive architectures seem to provide a good basis for the definition and description of SoS. This paper relates those principles to the corresponding structures in software evolution, and suggests to coordinate both through a pace layering strategy.",10.1145/2489850.2489856,https://dl.acm.org/doi/abs/10.1145/2489850.2489856,acm; scopus; googlescholar
2013,The State of the Art and Future Perspectives in Systems of Systems Software Architectures,"Currently, software systems have become increasingly large and complex, often resulted by the integration of several operationally independent systems, resulting in a new class of systems: the Systems of Systems (SoS). In another perspective, software architectures play a major role in determining system quality, since they form the backbone of any successful software-intensive system. Attention given to the software architectures of SoS is also certainly fundamental to the success of such systems. However, it is observed that there is a lack of works that present a wide and, at the same time, a detailed panorama about how SoS architectures have been treated. In this scenario, the main contribution of this paper is to present the state of the art on software architectures of SoS, mainly regarding their development, representation, evaluation, and evolution. This work also contributes with future research topics on SoS architectures that should be still investigated. Besides that, we intend this paper opens new perspectives of research in the software architecture area, intending to contribute to the success of SoS.",10.1145/2489850.2489853,https://dl.acm.org/doi/abs/10.1145/2489850.2489853,acm; scopus; googlescholar
2013,Challenges for SoS Architecture Description,"A System-of-Systems (SoS) is a composition of components (constituent system) that are large scale and independent systems with its own purpose and operating together to achieve a common goal. This paper discusses some of the challenges for architecting SoS, considering the architecture description perspective in the light of the fundamental principles of SoS: operational and managerial independence of the components, geographic distribution, evolutionary nature and emergent behavior. The challenging topics discussed include: (i) the representation of the SoS elements; (ii) the interactions between the constituent elements; (iii) the dynamic support to enable the evolutionary nature of SoS; (iv) the need of handling quality attributes.",10.1145/2489850.2489857,https://dl.acm.org/doi/abs/10.1145/2489850.2489857,acm; scopus; googlescholar
2013,Issues and Challenges in Ecosystems for Federated Embedded Systems,"This paper discusses how Systems of Systems (SoS) can be constructed by linking together embedded computers in constituent systems to create complex but more flexible and adaptable systems. The approach of software system development is called Federated Embedded Systems (FES) and their revolved ecosystem of players is presented, aiming to ensure quality in engineering SoS. Ecosystems for Federated Embedded Systems (EcoFES) comprise a new area of research that scales component-based software development for embedded software into new dimensions. The proposed ecosystem dimension introduces an open, flexible and adaptable SoS architecture for improving the process of FES development. In the paper, we identify some architectural challenges and discuss the implications of scaling from a closed ecosystem to an open one, providing open collaboration and innovation in the context of FES.",10.1145/2489850.2489854,,acm
2013,5th Annual Workshop on Interoperability and Smart Interactions in Healthcare (ISIH),"In May 2013 the Health Council of Canada released its third report on the state of healthcare renewal in Canada. Although the report identified that significant progress had been made in several areas since the previous reports in 2008 and 2011, this year's report still described the need for work to ensure our healthcare system evolves and will be sustainable for the years to come.One particular challenge is the need to integrate services over an expanding continuum of providers, services and illnesses. Healthcare delivery is becoming increasingly complex as it shifts from care provided by a single provider and setting to collaborative care provided by multiple providers across multiple settings. For example, patients with chronic illness frequently move between inpatient and outpatient settings and require collaboration by physicians, nurses, therapists, pharmacists and other healthcare professionals that act as an integrated network across hospital and community settings.Another highlighted challenge was the need for performance measurement of healthcare delivery by establishing meaningful targets and measurable goals to enable healthcare delivery to be driven by good management practices.In light of the above challenges to healthcare delivery it can be argued that the fundamental challenge our healthcare system faces is one of connectivity and assurance. Successful healthcare interoperability will be dependent upon our ability to connect and assure people, processes, data, policies and procedures, as well as the need to connect outcomes to system objectives through performance management. Mobile healthcare has the potential to dramatically extend the reach and impact of interoperability and smart interactions on healthcare outcomes.In our previous four workshops on Interoperability and Smart Interactions in Healthcare (ISIH) we emphasized that the fundamental challenges facing interoperability are not technical but rather process, people and evaluation issues. It is important that we do not define interoperability as the ends but rather as a means for assuring core health system objectives such as efficient, effective, and safe delivery of patient centered healthcare. Subsequently we should not evaluate interoperability efforts solely by our ability to connect disparate computer systems but rather by our abilities to achieve health system objectives.However to effectively evaluate healthcare delivery we need to develop and implement business analytic solutions to enable timely evaluation of healthcare delivery. As we move towards digital solutions such as electronic health records to enhance healthcare delivery our goal should not be to simply automate existing healthcare processes such as group decision making or communication. Rather our goal should be to leverage smart interactions and technologies to enable processes to go beyond how healthcare delivery is currently provided.Healthcare is a complex, dynamic and exception laden ecosystem. Smart interactions and interoperable technologies provide us the tools to support the dynamic nature of healthcare delivery to enable us to assure quality of care. For example, the management of diabetes requires medical registries to track patients over time and to communicate guidelines for ongoing clinical management. In that context, human factors research, cloud computing, consumer health services, and the ongoing evaluation and adoption of standards, technology and processes are all relevant.Meaningful interoperability can also enable performance management solutions to ensure we provide timely, efficient patient centered care delivery. However, the development of technologies to support meaningful interoperability faces significant challenges such as obtaining consistent, timely, quality data in a secure manner to facilitate performance-managed driven healthcare delivery. We also caution that an uncoordinated approach to the design and implementation of smart interactions and other information technology will only create barriers to accessibility and integration by burdening healthcare providers with administrative and information overload that falls short of delivering real benefits. To facilitate meaningful interoperability we need to first understand the underlying complexity of healthcare interoperability by developing models and frameworks that enable us to effectively leverage Mobile Health, consumer health apps, and other Smart technologies to support healthcare delivery.This year's workshop was presented and coordinated by a select group of health informatics and software engineering researchers, and practitioners from across Canada and will build upon our previous four workshops with the theme of going beyond individual applications towards a ""systems of systems"" perspective that considers technology as well as human factors and organizational structures. Our workshop will emphasize the need to develop healthcare approaches to assure safety, interoperability and quality of care at the level of the integrated socio-technical health care ecosystem.The previous four ISIH workshops were well attended by a mix of health care administrators, practitioners, representatives from standards body's initiatives, as well as academic researchers and industry partners. This year workshop focused on developing an agenda for researching meaningful ways to assure safety and interoperability in socio-technical health ecosystems and included case studies and anecdotes to illustrate the issues and potential solutions as a starting point for brainstorming and research initiatives that will lead to a systematic approach to the issues.The following questions will be posed:How can safety, effectiveness and interoperability goals be assured in an evolving socio-technical healthcare ecosystem?What regulatory controls and measures are effective in assuring critical eco-systems, specifically the healthcare ecosystem?What are the current systemic barriers that need to be overcome to achieve assured interoperability and safety?The workshop opened with short presentations from the panel members who provided background and outlined their basic position but also recounted actual experiences or academic results related to the questions. The second half was devoted to an interactive discussion in which the presenters debated different aspects and issues in response to questions from the audience. The closing part was reserved for general brainstorming guided by the moderators into a discussion of potential next steps and an action plan for collaboration and further exchanges of ideas beyond the end of the workshop.The panel presentations discussed the promises, challenges and risks of an information technology focused healthcare ecosystem and how we can leverage human factors research, cloud computing, health consumer informatics, safety engineering and the ongoing evaluation and adoption of standards, technology and processes to assure smarter interactions between health care providers and health care consumers (the patients). The workshop concluded with a summation of interoperability and assurance issues in health care and a chance to form collaborative partnerships with the workshop participants. In particular, we hope that one of the outcomes of this workshop will be to create a call for papers for a special journal issue on interoperability, assurance and smart interactions in socio-technical healthcare ecosystems.",,,acm
2014,OSM: An Evolutionary System of Systems Framework for Modeling and Simulation,"In this paper, we propose a novel Orchestrated Simulation through Modeling (OSM) framework that allows output visualizations and Discrete Event System Specification (DEVS) modeling and simulation (M&amp;S) frames to be developed separately as plug-ins and combined to form a complete system. Independently developed plug-ins can be added and removed as desired to dramatically change the system. This design allows input plug-ins (model, experimental), execution plug-ins (simulator), and output plug-ins to be developed separately and pieced together to form a unique system while allowing development to be compartmentalized. With the OSM framework, an evolutionary system of systems can be intelligently created by a community. Each community member only needs to fully understand the pieces they personally develop. The performance and scalability of our proposed OSM framework is discussed in an evolutionary system of systems domain pointing to its efficiency and usability.",10.5555/2664292.2664293,https://dl.acm.org/doi/abs/10.5555/2664292.2664293,acm; scopus; googlescholar
2014,"A Case Study on Testing, Commissioning, and Operation of Very-Large-Scale Software Systems","An increasing number of software systems today are very-large-scale software systems (VLSS) with system-of-systems (SoS) architectures. Due to their heterogeneity and complexity VLSS are difficult to understand and analyze, which results in various challenges for development and evolution. Existing software engineering processes, methods, and tools do not sufficiently address the characteristics of VLSS. Also, there are only a few empirical studies on software engineering for VLSS. We report on results of an exploratory case study involving engineers and technical project managers of an industrial automation VLSS for metallurgical plants. The paper provides empirical evidence on how VLSS are tested, commissioned, and operated in practice. The paper discusses practical challenges and reports industrial requirements regarding process and tool support. In particular, software processes and tools need to provide general guidance at the VLSS level as well as specific methods and tools for systems that are part of the VLSS. Processes and tools need to support multi-disciplinary engineering across system boundaries. Furthermore, managing variability and evolution is success-critical in VLSS verification and validation.",10.1145/2591062.2591179,https://dl.acm.org/doi/abs/10.1145/2591062.2591179,acm; scopus; webofscience; googlescholar
2014,When Ecosystems Collide: Making Systems of Systems Work,"The objective of this research is to identify issues that arise when software systems from different ecosystems are composed into a system of systems. Whether it is an explicit, managed ecosystem or the implicit ecosystem of collaborators, competitors, and users that surrounds any organization, the community of organizations has momentum in a particular direction. When a system of systems is composed using systems from each of several ecosystems the differences in communities can prevent satisfactory integration. We examine the case of a portion of the infrastructure needed to support automated driving. We use Maier's criteria that identify challenges for systems of systems as starting points for investigations into differences among ecosystems. We found points of commonality that tie together the ecosystems include use of common standards, membership by large organizations in multiple ecosystems, and influences of the outside business environment. We also found points of variation including whether the systems have compatible real-time expectations, terms of licenses, frequency of new releases, and architectural assumptions. Developers of a system of systems benefit from being aware of the similarities and differences among the ecosystems from which their systems originate because both the similarities and differences help developers anticipate the evolutionary trajectories of the individual systems.",10.1145/2642803.2642832,,acm; scopus
2015,Variability Management for a Runtime Monitoring Infrastructure,"Many software systems today are systems of systems (SoS), which are difficult to analyze due to their size, complexity, heterogeneity, and variability. For instance, unexpected behavior of SoS is often caused by the complex interactions between the involved systems and their environment at runtime. Monitoring infrastructures (MIs) provide support for engineers and support staff analyzing the behavior of SoS during development and operation. Variability plays an important role in MIs, however, while some approaches exist, managing variability of MIs remains challenging. In this paper, we describe how we applied a variability management approach to support the reconfiguration of a SoS monitoring infrastructure (MI) at runtime. Our approach provides configuration support for setting up the MI to reflect system variability. It also supports runtime reconfiguration of the MI to reflect the different monitoring tasks of users and to support evolution. We motivate our work using the case of monitoring a real-world SoS from the domain of industrial automation and discuss variability-related challenges in four monitoring scenarios. We evaluate the feasibility of our approach by applying it to these scenarios. We also demonstrate that our approach reduces manual reconfiguration effort and helps to reduce the overhead of the MI.",10.1145/2701319.2701330,,acm; scopus
2015,Model-Based Performance Evaluation of Large-Scale Smart Metering Architectures,"Smart meter devices are used to monitor and control energy consumption and are interlinked with smart grids. Their growing use leads to an extensive amount of available data to be processed and causes smart grids to evolve to large-scale systems of systems. Guaranteeing appropriate scalability and performance characteristics is a tremendous challenge. In this paper, we focus on the provisioning of sufficient computing capacity to efficiently analyze the produced data in such a distributed system. For this purpose, we show the use of performance models to plan and simulate this distributed computation in smart grid systems. It demonstrates how different system architectures can be evaluated and required capacities can be estimated to cope with the occurring data volume. We analyze response times for time-critical tasks and assess the scalability of smart grid systems.",10.1145/2693182.2693184,,acm; scopus
2015,Towards Model Driven Architecture and Analysis of System of Systems Access Control,"Nowadays there is growing awareness of the importance of Systems of Systems (SoS) which are large-scale systems composed of complex systems. SoS possess specific properties when compared with monolithic complex systems, in particular: operational independence, managerial independence, evolutionary development, emergent behavior and geographic distribution. One of the current main challenges is the impact of these properties on SoS security modeling and analysis. In this research proposal, we introduce a new method incorporating a process, a language and a software architectural tool to model, analyze and predict security architectural alternatives of SoS. Thus security will be taken into account as soon as possible in the life cycle of the SoS, making it less expensive.",10.1109/ICSE.2015.280,https://ieeexplore.ieee.org/abstract/document/7203101/,acm; googlescholar; ieeeexplore; scopus; webofscience
2015,Characterizing Architecture Description Languages for Software-Intensive Systems-of-Systems,"Systems-of-Systems (SoS) result from associating independent, complex systems for fulfilling given missions. In particular, SoS require software architectures that can cope with their dynamic, critical nature. Selecting adequate Architecture Description Languages (ADLs) for representing such architectures contributes for a better communication, analysis, and evolution of these systems. Nonetheless, a consensus on which characteristics are important for describing SoS is not available yet. In this context, the main contribution of this study is the identification of the main features to be provided by ADLs for describing SoS software architectures. In the light of these features, we assessed some existing ADLs that have been used for this task and we noticed that they still miss some of the identified features. With this set of features, we intend to contribute to the SoS field with directions for making ADLs more suitable for the description of SoS software architectures.",10.1109/SESoS.2015.10,https://ieeexplore.ieee.org/abstract/document/7179218/,acm; googlescholar; ieeeexplore; scopus; webofscience
2015,3rd International Workshop on Software Engineering for Systems-of-Systems (SESoS 2015),"Systems-of-Systems (SoS) refer to a new class of software-intensive systems, where their constituent systems work cooperatively in order to fulfill specific missions. Characterized by managerial and operational independence, geographic distribution, evolutionary development, and emergent behavior, SoS bring substantial challenges to the software engineering area. SESoS 2015, held in Florence, Italy, on May 17, 2015, as a joint workshop of the 37th International Conference on Software Engineering (ICSE), provided a forum to exchange ideas and experiences, analyze current research and development issues, discuss promising solutions, and to explore inspiring visions for the future of Software Engineering (SE) for SoS.",10.1109/ICSE.2015.327,,acm; ieeeexplore; scopus; webofscience
2015,On the Architecture-Driven Development of Software-Intensive Systems-of-Systems,"Nowadays, complex software-intensive systems have resulted from the integration of heterogeneous independent systems, thus leading to a new class of systems called Systems-of-Systems (SoS). As in any system, SoS architectures have been regarded as an important element for determining their success. However, the state of the art reveals shortcomings that contribute to compromise the quality of these systems, as their inherent characteristics (such as emergent behavior and evolutionary development) are often not properly addressed. In this context, this PhD research aims at investigating how SoS software architectures can be used to model and evolve these systems. As main contribution, an architecture-centric approach for developing software-intensive SoS with focus on the formal specification and dynamic reconfiguration of their architectures is proposed. Such an approach mainly intends to contribute to fill some of the relevant existing gaps regarding the development of software-intensive SoS driven by their software architectures.",10.1109/ICSE.2015.287,,acm; ieeeexplore; scopus; webofscience
2015,Foreword: Towards Reference Architectures for Systems-of-Systems,"Currently, software-intensive systems have become larger and complex, resulting from the interoperability of several sometimes distributed, independent systems so that emergent, broader missions can be performed. So referred as Systems-of-Systems (SoS), this new class of systems has emerged in special in critical application domains. In another perspective, reference architecture is a special type of software architecture that has provided a considerable support to the development, evolution, and also standardization of systems of given application domains. Considering their usefulness, reference architectures are even more important to SoS than they have been today, by making it possible to mainly promote interoperability among constituent systems of SoS. Adequate interoperability in SoS has been still a great challenge to the community. In this scenario, this foreword arises challenges in this new research topic of reference architectures for SoS. As a result, we intend to open a discussion around SoS and reference architectures and research lines as well.",10.1109/SESoS.2015.8,https://ieeexplore.ieee.org/abstract/document/7179216/,acm; googlescholar; ieeeexplore; scopus; webofscience
